Key,Context,Swedish Original,English UK,English US,Status
b2b.dashboard.browse_catalog,B2B Dashboard Browse Catalog,Bläddra i produktkatalog,Browse Product Catalogue,Browse Product Catalog,Ny
b2b.dashboard.download_materials,B2B Dashboard Download Materials,Ladda ner marknadsföringsmaterial,Download Marketing Materials,Download Marketing Materials,Ny
b2b.dashboard.test_training,B2B Dashboard Test Training,Testa Säljutbildning,Test Sales Training,Test Sales Training,Ny
b2b.dashboard.order_description,B2B Dashboard Order Description,Skapa en ny beställning för dina kunder,Create a new order for your customers,Create a new order for your customers,Ny
b2b.dashboard.history_description,B2B Dashboard History Description,Visa och spåra dina tidigare beställningar,View and track your previous orders,View and track your previous orders,Ny
b2b.dashboard.catalog_description,B2B Dashboard Catalog Description,Bläddra och ladda ner produktinformation,Browse and download product information,Browse and download product information,Ny
b2b.dashboard.marketing_description,B2B Dashboard Marketing Description,Ladda ner broschyrer och marknadsföringsmaterial,Download brochures and marketing materials,Download brochures and marketing materials,Ny
b2b.training.sales_training,B2B Training Sales Training,Säljutbildning,Sales Training,Sales Training,Ny
b2b.training.welcome,B2B Training Welcome,Välkommen,Welcome,Welcome,Ny
b2b.training.understand_problem,B2B Training Understand Problem,Förstå problemet,Understand the Problem,Understand the Problem,Ny
b2b.training.key_actions,B2B Training Key Actions,Viktiga åtgärder,Key Actions,Key Actions,Ny
b2b.training.sales_pitch,B2B Training Sales Pitch,Säljargument,Sales Pitch,Sales Pitch,Ny
b2b.training.handle_objections,B2B Training Handle Objections,Hantera invändningar,Handle Objections,Handle Objections,Ny
b2b.training.complete,B2B Training Complete,Slutför,Complete,Complete,Ny
b2b.training.next,B2B Training Next,Nästa,Next,Next,Ny
b2b.training.previous,B2B Training Previous,Föregående,Previous,Previous,Ny
b2b.training.close,B2B Training Close,Avsluta,Close,Close,Ny
b2b.training.start_training,B2B Training Start,Starta utbildning,Start Training,Start Training,Ny
b2b.products.products,B2B Products Products,Produkter,Products,Products,Ny
b2b.products.name,B2B Products Name,Namn,Name,Name,Ny
b2b.products.description,B2B Products Description,Beskrivning,Description,Description,Ny
b2b.products.price,B2B Products Price,Pris,Price,Price,Ny
b2b.products.size,B2B Products Size,Storlek,Size,Size,Ny
b2b.products.color,B2B Products Color,Färg,Colour,Color,Ny
b2b.products.active,B2B Products Active,Aktiv,Active,Active,Ny
b2b.products.inactive,B2B Products Inactive,Inaktiv,Inactive,Inactive,Ny
b2b.products.transparent,B2B Products Transparent,Transparent,Transparent,Transparent,Ny
b2b.products.red,B2B Products Red,Röd,Red,Red,Ny
b2b.products.fluorescent,B2B Products Fluorescent,Fluorescerande,Fluorescent,Fluorescent,Ny
b2b.products.glitter,B2B Products Glitter,Glitter,Glitter,Glitter,Ny
b2b.orders.orders,B2B Orders Orders,Beställningar,Orders,Orders,Ny
b2b.orders.status,B2B Orders Status,Status,Status,Status,Ny
b2b.orders.date,B2B Orders Date,Datum,Date,Date,Ny
b2b.orders.quantity,B2B Orders Quantity,Antal,Quantity,Quantity,Ny
b2b.orders.total,B2B Orders Total,Totalt,Total,Total,Ny
b2b.orders.new,B2B Orders New,Ny,New,New,Ny
b2b.orders.processing,B2B Orders Processing,Behandlas,Processing,Processing,Ny
b2b.orders.shipped,B2B Orders Shipped,Skickad,Shipped,Shipped,Ny
b2b.orders.delivered,B2B Orders Delivered,Levererad,Delivered,Delivered,Ny
b2b.orders.cancelled,B2B Orders Cancelled,Avbruten,Cancelled,Canceled,Ny
b2b.profile.company_name,B2B Profile Company Name,Företagsnamn,Company Name,Company Name,Ny
b2b.profile.contact_person,B2B Profile Contact Person,Kontaktperson,Contact Person,Contact Person,Ny
b2b.profile.phone,B2B Profile Phone,Telefon,Phone,Phone,Ny
b2b.profile.email,B2B Profile Email,E-post,Email,Email,Ny
b2b.profile.address,B2B Profile Address,Adress,Address,Address,Ny
b2b.profile.city,B2B Profile City,Stad,City,City,Ny
b2b.profile.postal_code,B2B Profile Postal Code,Postnummer,Postal Code,ZIP Code,Ny
b2b.profile.country,B2B Profile Country,Land,Country,Country,Ny
b2b.profile.save,B2B Profile Save,Spara,Save,Save,Ny
b2b.profile.cancel,B2B Profile Cancel,Avbryt,Cancel,Cancel,Ny
b2b.profile.edit,B2B Profile Edit,Redigera,Edit,Edit,Ny
b2b.profile.save_changes,B2B Profile Save Changes,Spara Ändringar,Save Changes,Save Changes,Ny
b2b.profile.update_password,B2B Profile Update Password,Uppdatera Lösenord,Update Password,Update Password,Ny
b2b.common.load,B2B Common Load,Ladda,Load,Load,Ny
b2b.common.download,B2B Common Download,Ladda ner,Download,Download,Ny
b2b.common.show,B2B Common Show,Visa,Show,Show,Ny
b2b.common.hide,B2B Common Hide,Dölj,Hide,Hide,Ny
b2b.common.search,B2B Common Search,Sök,Search,Search,Ny
b2b.common.filter,B2B Common Filter,Filtrera,Filter,Filter,Ny
b2b.common.sort,B2B Common Sort,Sortera,Sort,Sort,Ny
b2b.common.create,B2B Common Create,Skapa,Create,Create,Ny
b2b.common.delete,B2B Common Delete,Ta bort,Delete,Delete,Ny
b2b.common.close,B2B Common Close,Stäng,Close,Close,Ny
b2b.common.open,B2B Common Open,Öppna,Open,Open,Ny
b2b.common.select,B2B Common Select,Välj,Select,Select,Ny
b2b.common.confirm,B2B Common Confirm,Bekräfta,Confirm,Confirm,Ny
b2b.common.yes,B2B Common Yes,Ja,Yes,Yes,Ny
b2b.common.no,B2B Common No,Nej,No,No,Ny
b2b.error.error,B2B Error Error,Fel,Error,Error,Ny
b2b.error.could_not_load,B2B Error Could Not Load,Kunde inte ladda,Could not load,Could not load,Ny
b2b.error.something_went_wrong,B2B Error Something Went Wrong,Något gick fel,Something went wrong,Something went wrong,Ny
b2b.error.try_again,B2B Error Try Again,Försök igen,Try again,Try again,Ny
b2b.error.no_results,B2B Error No Results,Inga resultat,No results,No results,Ny
b2b.error.no_data,B2B Error No Data,Ingen data,No data,No data,Ny
b2b.time.today,B2B Time Today,Idag,Today,Today,Ny
b2b.time.yesterday,B2B Time Yesterday,Igår,Yesterday,Yesterday,Ny
b2b.time.tomorrow,B2B Time Tomorrow,Imorgon,Tomorrow,Tomorrow,Ny
b2b.time.this_week,B2B Time This Week,Denna vecka,This week,This week,Ny
b2b.time.last_week,B2B Time Last Week,Förra veckan,Last week,Last week,Ny
b2b.time.next_week,B2B Time Next Week,Nästa vecka,Next week,Next week,Ny
b2b.contact.contact_info,B2B Contact Contact Info,Kontaktuppgifter,Contact Information,Contact Information,Ny
b2b.contact.support,B2B Contact Support,Support,Support,Support,Ny
b2b.contact.help,B2B Contact Help,Hjälp,Help,Help,Ny
b2b.marketing.materials,B2B Marketing Materials,Material,Materials,Materials,Ny
b2b.marketing.images,B2B Marketing Images,Bilder,Images,Images,Ny
b2b.marketing.documents,B2B Marketing Documents,Dokument,Documents,Documents,Ny
b2b.marketing.brochures,B2B Marketing Brochures,Broschyrer,Brochures,Brochures,Ny
b2b.marketing.upload,B2B Marketing Upload,Ladda upp,Upload,Upload,Ny
b2b.marketing.import,B2B Marketing Import,Importera,Import,Import,Ny
b2b.marketing.export,B2B Marketing Export,Exportera,Export,Export,Ny
b2b.detail.details,B2B Detail Details,Detaljer,Details,Details,Ny
b2b.detail.information,B2B Detail Information,Information,Information,Information,Ny
b2b.detail.specifications,B2B Detail Specifications,Specifikationer,Specifications,Specifications,Ny
b2b.detail.features,B2B Detail Features,Funktioner,Features,Features,Ny
b2b.detail.benefits,B2B Detail Benefits,Fördelar,Benefits,Benefits,Ny
b2b.popup.close,B2B Popup Close,Stäng,Close,Close,Ny
b2b.popup.save,B2B Popup Save,Spara,Save,Save,Ny
b2b.popup.cancel,B2B Popup Cancel,Avbryt,Cancel,Cancel,Ny
b2b.popup.confirm,B2B Popup Confirm,Bekräfta,Confirm,Confirm,Ny
b2b.popup.edit,B2B Popup Edit,Redigera,Edit,Edit,Ny
b2b.status.active,B2B Status Active,Aktiv,Active,Active,Ny
b2b.status.inactive,B2B Status Inactive,Inaktiv,Inactive,Inactive,Ny
b2b.status.pending,B2B Status Pending,Väntande,Pending,Pending,Ny
b2b.status.approved,B2B Status Approved,Godkänd,Approved,Approved,Ny
b2b.status.rejected,B2B Status Rejected,Avvisad,Rejected,Rejected,Ny
b2b.status.completed,B2B Status Completed,Slutförd,Completed,Completed,Ny
b2b.loading.loading,B2B Loading Loading,Laddar,Loading,Loading,Ny
b2b.loading.please_wait,B2B Loading Please Wait,Vänta,Please wait,Please wait,Ny
b2b.loading.processing,B2B Loading Processing,Bearbetar,Processing,Processing,Ny
b2b.loading.saving,B2B Loading Saving,Sparar,Saving,Saving,Ny
b2b.loading.uploading,B2B Loading Uploading,Laddar upp,Uploading,Uploading,Ny
b2b.loading.downloading,B2B Loading Downloading,Laddar ner,Downloading,Downloading,Ny 
